ID,TYPE,NAME,ABSTRACT,PREFERENCE,
129,TOOL,ParaQooba: A Fast and Flexible Framework for Parallel and Distributed QBF Solving,"Over the last years, innovative parallel and distributed SAT solving techniques were presented that could impressively exploit the power of modern hardware and cloud systems. Two approaches were particularly successful: (1) search-space splitting in a Divide-and-Conquer (D&C) manner and (2) portfolio-based solving. The latter executes different solvers or configurations of solvers in parallel. For quantified Boolean formulas (QBFs), the extension of propositional logic with quantifiers, there is surprisingly little recent work in this direction compared to SAT.  In this paper, we present ParaQooba, a novel framework for parallel and distributed QBF solving which combines D&C parallelization and distribution with portfolio-based solving. Our framework is designed in such a way that it can be easily extended and arbitrary sequential QBF solvers can be integrated out of the box, without any programming effort. We show how ParaQooba orchestrates the collaboration of different solvers for joint problem solving by performing an extensive evaluation on benchmarks from QBFEval'22, the most recent QBF competition.",No,
,,,,,
150,TOOL,COOL 2 -- A Generic Reasoner for Modal Fixpoint Logics,"While the standard semantics of normal modal logics is based on relational structures such as Kripke frames or labelled transition systems, there is a wide range of modal logics beyond the relational spectrum. The semantics of such logics variously involves, for instance, probabilities, multi-player games, weights, or neighbourhood structures. Coalgebraic logic serves as a unifying semantic and algorithmic framework for such logics, and offers uniform reasoning algorithms that are easily instantiated to given modal logics. The COalgebraic Ontology Logic Solver (COOL) provides an implementation of these generic algorithms, along with a library of pre-instantiated logics. While the tool originally covered only next-step logics, version 2 as presented in the present paper offers support for highly expressive fixpoint logics within the coalgebraic µ-calculus. By instantiation, COOL 2 thus serves in particular as a reasoner for the graded µ-calculus and the alternating-time µ-calculus. The former requires the incorporation of recent generic algorithms based on one-step satisfiability checking (generalising algorithms that work with modal tableau rules). We evaluate the tool on standard benchmark sets for next-step graded modal logic as well as on a dedicated set of benchmarks for the graded µ-calculus.",No,
,,,,,
161,TOOL,Efficient and Verified Continuous Double Auctions,"Continuous double auctions are commonly used to match orders at currency, stock, and commodities exchanges. A verified implementation of continuous double auctions is a useful tool for market regulators as they give rise to automated checkers that are guaranteed to detect errors in the trade logs of an existing exchange if they contain trades that violate the matching rules. We provide an efficient and formally verified implementation of continuous double auctions that takes $O(n \log n)$ time to match $n$ orders. This improves an earlier $O(n^2)$ verified implementation. We also prove a matching $\Omega(n\log n)$ lower bound on the running time for continuous double auctions. Our new implementation takes only a couple of minutes to run on ten million randomly generated orders as opposed to a few days taken by the earlier implementation. We use the Coq proof assistant for verifying our implementation and extracting a verified OCaml program.",No,
,,,,,
163,TOOL,Bridging Hardware and Software Analysis with Btor2C: A Word-Level-Circuit-to-C Converter,"Across the broad field for the analysis of computational systems, research endeavors are often categorized by the respective models under investigation. Algorithms and tools are usually developed for a specific model, hindering their applications to similar problems originating from other computational systems. A prominent example of such situation is the studies on formal verification and testing for hardware and software systems. The two research communities share common theoretical foundations and terminologies, including satisfiability, interpolation, and abstraction refinement. Nevertheless, it is often demanding for one community to benefit from the advancements of the other, as analyzers typically assume a particular input format. To bridge the gap between the hardware and software analysis, we propose Btor2C, a converter from word-level sequential circuits to C programs. We choose the Btor2 language as the input format for its simplicity and bit-precise semantics. It can be deemed as an intermediate representation tailored for analysis. Upon a Btor2 circuit, Btor2C generates a behaviorally equivalent program in the C language, supported by most static program analyzers. We demonstrate the use cases of Btor2C by translating the benchmark set from the Hardware Model Checking Competitions into C programs and analyze them by tools from the Competitions on Software Verification and Testing. Our results show that software analyzers can complement hardware verifiers for enhanced quality assurance.",No,
,,,,,
166,TOOL,AIMOS: Metamorphic Testing of AI - An Industrial Application,"Despite initial fears of a renewed AI winter, the current summer seems to have no end in sight. AI in general and Deep Learning in particular are permeating a growing number of our daily applications with an undeniable added value. As with Computer Science itself, this increasing entanglement with our lives calls for a special attention to safety and demands adequate verification and validation methods and tools to assist in the development of reliable AI. In this paper, we present the AIMOS tool as well as the results of its application to industrial use-cases. Relying on the widely used Metamorphic testing paradigm, we show how the process of verification and validation can benefit from the early testing of models’ robustness to perturbations stemming from the intended operational domain.",No,Maybe
,,,,,
168,TOOL,DCModelChecker 2.0: A Tool for Two Dimensional Bounded Model Checking for Unbounded Petri Nets using LTL_LIA,"Bounded model checking (BMC) is an efficient formal verification technique which allows for desired properties of a software system to be checked on bounded runs of an abstract model of the system by querying a SAT/SMT solver. The properties are frequently described in a temporal logic and the system is modeled as a state transition system, in our case a Petri net. In this paper we propose a counting logic with linear integer arithmetic, called LTL_LIA, to describe the temporal properties of client-server systems with an unbounded number of clients and give its bounded semantics from which we derive its propositional encoding. We describe a SAT/SMT-based technique to check properties in LTL_LIA against runs of Petri net models. In this context, we propose an extension of BMC strategy, namely two-dimensional bounded model checking (2D-BMC), that uses two distinguishable parameters, one for execution steps and another for number of tokens in the net, and these two evolve separately. DCModelChecker 1.0 is a BMC tool to verify properties of a different counting logic for unbounded Petri nets. We extend their tool to verify properties of LTL_LIA and show the experimental results on DCModelChecker 2.0 for benchmarks from the Model Checking Contest (MCC).",No,
